Time,Source,Item,Raw Count,Final Count,Whitelisted,Dead,Redundant,Toplist Count,Toplist Domains,Query Count,Saved
14:37:36 20-03-24,scam.delivery,scam.delivery,0,0,0,0,0,0,,0,no
15:05:41 20-03-24,scamadviser.com,scamadviser.com,151,140,10,0,0,1,tatadress.com,0,no
15:05:41 20-03-24,scam.delivery,scam.delivery,0,0,0,0,0,0,,0,no
15:09:41 20-03-24,scamadviser.com,scamadviser.com,151,140,10,0,0,0,,0,yes
22:04:07 20-03-24,Google Search,committed to the progress of sustainability within our business practices. With consistent evaluatio...,97,4,0,0,0,0,,0,no
22:04:07 20-03-24,Google Search,Serving customers is our specialty - our devoted team is live and available to assist. We guarantee ...,44,1,0,0,0,0,,0,no
22:04:07 20-03-24,Google Search,The pharmacy you are currently dealing with comes first in the market of delivering and distribution...,6,6,0,0,0,0,,0,no
22:04:07 20-03-24,Google Search,mainly focuses on wear. Our goal is always to provide our customers with high quality fashion produc...,2,1,0,0,0,0,,0,no
22:04:07 20-03-24,aa419.org,aa419.org,4257,164,16,0,0,0,,0,yes
22:04:07 20-03-24,guntab.com,guntab.com,1763,62,2,0,0,0,,0,yes
22:04:07 20-03-24,petscams.com,petscams.com,706,17,0,0,2,0,,0,yes
22:04:07 20-03-24,scam.delivery,scam.delivery,0,0,0,0,0,0,,0,yes
22:04:07 20-03-24,scam.directory,scam.directory,1253,0,3,0,0,0,,0,yes
22:04:07 20-03-24,scamadviser.com,scamadviser.com,78,8,4,0,0,0,,0,yes
22:04:07 20-03-24,stopgunscams.com,stopgunscams.com,75,1,0,0,0,0,,0,yes
22:04:07 20-03-24,Google Search,committed to the progress of sustainability within our business practices. With consistent evaluatio...,97,4,0,0,0,0,,0,yes
22:04:07 20-03-24,Google Search,"Since we kyesw you want all sorts of custom products, we got you covered with highly professional sup...",97,3,3,0,0,0,,0,no
22:04:07 20-03-24,Google Search,"No matter where you are, who you are and what you are passionate about we want to be able to provide...",98,1,0,0,0,0,,0,yes
