Timestamp,Source,Item,Raw Count,Final Count,Whitelisted,Dead,Parked,Toplist,Queries,Status
10:03:36 13-04-24,Google Search,"If you ever have problems with your order, we'll do everything we can to make it right. We aim to tr...",88,2,0,0,0,0,10,saved
10:03:36 13-04-24,Google Search,"Serving customers is our specialty - our devoted team is live and available to assist. We guarantee ...",45,0,0,0,0,0,5,saved
10:03:36 13-04-24,Google Search,"Your satisfaction is our service purpose, if you have any question or need help, please feel free to...",41,0,0,0,0,0,10,saved
10:03:36 13-04-24,Google Search,"Gone are those days you need to be an expert with years of experience, have millions of Pounds or st...",47,0,0,2,1,0,5,saved
10:03:36 13-04-24,Google Search,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alter...",75,0,6,0,0,0,10,saved
10:03:36 13-04-24,Google Search,"is the global leading online retailer for tops, bottoms and dresses. Our dedicated fashion buyers, w...",61,0,0,0,0,0,7,saved
10:03:36 13-04-24,Google Search,"The shipment of your product is our highest priority and everyday we dispatch hundreds of products t...",100,1,0,0,0,0,10,saved
10:03:36 13-04-24,Google Search,"We love cannabis for its wonderful properties which is exactly why we offer the services that we do....",40,0,1,1,1,0,5,saved
10:03:36 13-04-24,Google Search,"your number one source for all things cosmetic and personal care product....",35,3,0,0,0,0,10,saved
10:03:36 13-04-24,Google Search,"In this fast-paced world, we all enjoy comfort and convenience in almost everything. We love being c...",98,3,0,0,1,0,10,saved
10:03:36 13-04-24,Google Search,"This website relies on Ethernet smart contracts to operate, please use a decentralized wallet to acc...",27,27,0,0,0,0,3,saved
10:03:36 13-04-24,Google Search,"We have large garment factories in Southeast Asia,With warehouses in many countries,minimize costs,L...",2,1,0,0,0,0,1,saved
10:03:36 13-04-24,Google Search,"is your global online store that delivers latest fashion apparel for you! We have handmade toys , dr...",98,92,0,0,0,1,10,saved
10:03:36 13-04-24,Google Search,"Since the customs seized a batch of goods, the company is now short of cash flow, so it took out a b...",10,5,0,0,0,1,3,saved
12:33:49 13-04-24,Google Search,"Since the customs seized a batch of goods, the company is now short of cash flow, so it took out a b...",1,0,1,0,0,0,,unsaved
12:33:49 13-04-24,Google Search,"is your global online store that delivers latest fashion apparel for you! We have handmade toys , dr...",1,0,1,0,0,0,,unsaved
10:51:23 14-04-24,aa419.org,,250,10,0,5,9,0,,saved
10:51:23 14-04-24,dnstwist,,22,22,0,0,0,0,,saved
10:51:23 14-04-24,guntab.com,,1813,0,0,279,93,0,,saved
10:51:23 14-04-24,petscams.com,,196,26,0,12,4,0,,saved
10:51:23 14-04-24,Regex,,329,327,2,0,0,0,,saved
10:51:23 14-04-24,scam.directory,,100,12,0,15,1,0,,saved
10:51:23 14-04-24,scamadviser.com,,70,0,3,16,5,0,,saved
10:51:23 14-04-24,stopgunscams.com,,75,0,0,3,0,0,,saved
10:51:23 14-04-24,Google Search,"committed to the progress of sustainability within our business practices. With consistent evaluatio...",100,0,0,1,0,0,10,saved
10:51:23 14-04-24,Google Search,"we got you covered with highly professional suppliers and production houses that we keep in close co...",99,1,0,1,0,0,10,saved
10:51:23 14-04-24,Google Search,"No matter where you are, who you are and what you are passionate about we want to be able to provide...",99,0,0,0,0,0,10,saved
10:51:23 14-04-24,Google Search,"We have spent years searching for creative, smart, and useful products around the world and bring th...",100,0,0,1,0,0,10,saved
10:51:23 14-04-24,Google Search,"If you ever have problems with your order, we'll do everything we can to make it right. We aim to tr...",92,4,0,0,0,0,10,saved
10:51:23 14-04-24,Google Search,"Serving customers is our specialty - our devoted team is live and available to assist. We guarantee ...",45,0,0,0,0,0,5,saved
10:51:23 14-04-24,Google Search,"Your satisfaction is our service purpose, if you have any question or need help, please feel free to...",41,0,0,0,0,0,10,saved
10:51:23 14-04-24,Google Search,"Gone are those days you need to be an expert with years of experience, have millions of Pounds or st...",47,0,0,2,1,0,5,saved
10:51:23 14-04-24,Google Search,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alter...",72,1,5,0,0,0,10,saved
10:51:23 14-04-24,Google Search,"is the global leading online retailer for tops, bottoms and dresses. Our dedicated fashion buyers, w...",61,0,0,0,0,0,7,saved
10:51:23 14-04-24,Google Search,"The shipment of your product is our highest priority and everyday we dispatch hundreds of products t...",100,1,0,0,0,0,10,saved
10:51:23 14-04-24,Google Search,"We love cannabis for its wonderful properties which is exactly why we offer the services that we do....",32,0,1,1,1,0,5,saved
10:51:23 14-04-24,Google Search,"your number one source for all things cosmetic and personal care product....",39,3,0,1,0,0,10,saved
